upc,price,distributor_items_price,category_name
'792695234166',54.99,50.69,Accessories / Cases
'792695237037',40.99,37.51,Accessories / Cases
'792695199045',54.99,50.69,Accessories / Cases
'792695199267',54.99,50.69,Accessories / Cases
'792695200451',54.99,50.69,Accessories / Cases
'792695212942',53.99,49.55,Accessories / Cases
'021291006144',21.99,18.19,Accessories / Firearm Accessories
'021291006489',41.99,36.09,Accessories / Miscellaneous
'810048570478',739.95,517.97,Optics / Scopes
'810048570348',449.95,314.97,Optics / Scopes
'810048570263',509.95,356.97,Optics / Scopes
'810048570300',509.95,356.97,Optics / Scopes
'810048570317',289.95,202.97,Optics / Scopes
'810048570065',679.95,475.97,Optics / Scopes
'810048570225',259.95,181.97,Optics / Scopes
'810048570089',319.95,223.97,Optics / Scopes
'810048570102',429.95,300.97,Optics / Scopes
'810048570485',679.95,475.97,Optics / Scopes
'792695328988',66.98,61.51,Accessories / Cases
'792695210252',23.99,22.21,Accessories / Cases
'792695339434',16.98,15.65,Accessories / Cases
'723189045180',90.85,62.69,Magazines / 12 Gauge Mags
'723189045227',74.98,64.89,Magazines / 12 Gauge Mags
'090255708141',43.99,37.85,Accessories / Reloading
'090255501049',56.99,49.17,Accessories / Reloading
'723189066062',6.99,5.44,Knives / Multi-Tools / Utility
'792695295648',58.99,54.11,Accessories / Cases
'723189071158',44.99,39.24,Accessories / Gun Parts
'723189071172',45.99,39.24,Hunting / Accessories
'723189071554',44.99,39.24,Accessories / Gun Parts
'723189071578',44.99,39.24,Accessories / Gun Parts
'723189072551',44.99,39.24,Accessories / Gun Parts
'723189072575',44.99,39.24,Accessories / Gun Parts
'723189072636',44.99,39.24,Accessories / Gun Parts
'723189072650',44.99,39.24,Accessories / Gun Parts
'723189073558',44.99,39.24,Accessories / Gun Parts
'723189073572',44.99,39.24,Accessories / Gun Parts
'723189073688',44.99,39.24,Accessories / Gun Parts
'723189074562',44.99,39.24,Accessories / Gun Parts
'723189074715',80.71,70.69,Accessories / Gun Parts
'723189074746',44.99,39.24,Accessories / Gun Parts
'723189074760',44.99,39.24,Accessories / Gun Parts
'723189075750',44.99,39.24,Accessories / Gun Parts
'792695219989',52.99,48.41,Accessories / Cases
'792695329084',51.99,47.84,Accessories / Cases
'021291709465',17.98,15.4,Hunting / Scents
'021291710225',17.98,15.4,Hunting / Scents
'021291709489',26.99,23.11,Hunting / Scents
'734307906603',14.99,12.38,Accessories / Reloading
'021291710485',24.99,21.01,Hunting / Blinds
'021291711376',7.99,6.24,Hunting / Calls
'736676903443',17.98,14.99,Magazines / 12 Gauge Mags
'736676903610',26.99,22.99,Magazines / 12 Gauge Mags
'736676905911',26.99,22.99,Magazines / 12 Gauge Mags
'736676903986',45.99,39.99,Magazines / 12 Gauge Mags
'736676905485',42.99,36.99,Magazines / 12 Gauge Mags
'736676900053',17.98,14.99,Magazines / 12 Gauge Mags
'736676902231',19.98,16.99,Magazines / 12 Gauge Mags
'736676909780',17.98,14.99,Magazines / 12 Gauge Mags
'736676909797',40.99,34.99,Magazines / 12 Gauge Mags
'736676900763',19.98,16.99,Magazines / 12 Gauge Mags
'743108220702',93.46,69.61,Hunting / Accessories
'661120412687',9.99,7.49,Accessories / Gun Parts
'751103012154',33.99,29.35,Optics / Sights / Lasers / Lights
'751103012161',33.99,29.35,Optics / Sights / Lasers / Lights
'751103012451',23.99,20.19,Accessories / Miscellaneous
'661120417477',137.99,119.46,Optics / Sights / Lasers / Lights
'011356551832',111.99,96.99,Magazines / 12 Gauge Mags
'011356551856',67.98,58.99,Magazines / 12 Gauge Mags
'661120001836',16.98,14.59,Accessories / Safety and Protection
'813581007470',11.99,10.43,Optics / Sights / Lasers / Lights
'011356551900',132.99,114.99,Magazines / 12 Gauge Mags
'661120080442',20.99,17.78,Hunting / Accessories
'661120080152',219.95,179.81,Hunting / Accessories
'661120080169',249.95,206.77,Hunting / Accessories
'661120079484',95.99,82.99,Hunting / Traps
'023614951247',43.99,37.06,Magazines / 12 Gauge Mags
'023614962038',43.99,37.99,Magazines / 12 Gauge Mags
'023614199687',44.99,39.12,Accessories / Gun Parts
'661120106128',19.95,10.49,Knives / Multi-Tools / Utility
'661120107279',7.99,6.74,Accessories / Gun Cleaning
'723189114947',93.93,80.19,Accessories / Gun Parts
'723189115029',93.93,80.19,Hunting / Accessories
'723189115227',93.93,80.19,Hunting / Accessories
'723189115326',93.93,80.19,Hunting / Accessories
'723189115425',93.93,80.19,Hunting / Accessories
'723189115623',93.93,80.19,Hunting / Accessories
'029757006370',114.99,99.36,Hunting / Accessories
'810027770202',2482.98,2022.64,Optics / Scopes
'011516813183',75.98,66.04,Accessories / Reloading
'816715010711',183.99,159.99,Magazines / 12 Gauge Mags
'080926220607',22.99,19.17,Optics / Sights / Lasers / Lights
'023614486480',20.99,17.94,Accessories / Miscellaneous
'023614063636',24.99,22.35,Accessories / Cases
'023614486411',30.99,26.18,Accessories / Miscellaneous
'023614965688',42.99,37.06,Accessories / Miscellaneous
'023614424161',26.99,22.35,Accessories / Firearm Accessories
'023614955481',15.99,13.06,Accessories / Firearm Accessories
'023614491163',15.99,13.06,Accessories / Firearm Accessories
'023614415480',26.99,22.35,Accessories / Firearm Accessories
'023614059028',62.99,52.06,Accessories / Firearm Accessories
'029057333091',19.98,17.22,Accessories / Gun Cleaning
'023614844150',48.99,43.24,Accessories / Gun Cleaning
'023614844167',37.99,33.41,Accessories / Gun Cleaning
'023614373193',30.99,26.24,Accessories / Safety and Protection
'792695324355',33.99,31.32,Accessories / Cases
'792695324058',33.99,31.32,Accessories / Cases
'792695337164',26.99,25.06,Accessories / Cases
'792695337133',26.99,25.06,Accessories / Cases
'792695337157',26.99,25.06,Accessories / Cases
'023614204602',23.99,21.67,Accessories / Cases
'023614365341',23.99,21.67,Accessories / Cases
'029757007056',131.99,107.13,Optics / Scopes
'023614486305',67.98,62.84,Accessories / Cases
'023614486312',67.98,62.84,Accessories / Cases
'023614965701',77.98,71.67,Accessories / Cases
'023614965718',77.98,71.67,Accessories / Cases
'023614965893',31.99,29.14,Accessories / Cases
'023614486374',22.99,20.72,Accessories / Cases
'023614965725',26.99,24.84,Accessories / Cases
'080926149755',27.99,24.16,Optics / Sights / Lasers / Lights
'743108150405',50.96,37.96,Accessories / Gun Parts
'743108153406',59.46,44.29,Accessories / Gun Parts
'087171052380',35.99,31.08,Knives / Multi-Tools / Utility
'792695344100',37.99,35.31,Accessories / Cases
'706433762743',183.0,145.0,Accessories / Gun Parts
'810027770738',2328.98,2025.07,Optics / Thermal Scopes
'030317012267',19.98,16.99,Optics / Scope Mounts
'030317012274',20.99,16.99,Optics / Scopes
'030317012908',2099.99,1597.0,Optics / Scopes
'030317012939',2299.99,1749.0,Optics / Scopes
'030317012922',2399.99,1824.0,Optics / Scopes
